[2021-01-16 17:04:12.721] <GnuGo>   (out) : new_score
[2021-01-16 17:04:12.722] <GnuGo>   (out) : orientation
[2021-01-16 17:04:12.723] <GnuGo>   (out) : owl_attack
[2021-01-16 17:04:12.753] <GnuGo>   (out) : owl_connection_defends
[2021-01-16 17:04:12.756] <GnuGo>   (out) : owl_defend
[2021-01-16 17:04:12.757] <GnuGo>   (out) : owl_does_attack
[2021-01-16 17:04:12.758] <GnuGo>   (out) : owl_does_defend
[2021-01-16 17:04:12.758] <GnuGo>   (out) : owl_substantial
[2021-01-16 17:04:12.759] <GnuGo>   (out) : owl_threaten_attack
[2021-01-16 17:04:12.759] <GnuGo>   (out) : owl_threaten_defense
[2021-01-16 17:04:12.760] <GnuGo>   (out) : place_free_handicap
[2021-01-16 17:04:12.769] <GnuGo>   (out) : play
[2021-01-16 17:04:12.788] <GnuGo>   (out) : popgo
[2021-01-16 17:04:12.802] <GnuGo>   (out) : printsgf
[2021-01-16 17:04:12.851] <GnuGo>   (out) : protocol_version
[2021-01-16 17:04:12.853] <GnuGo>   (out) : query_boardsize
[2021-01-16 17:04:12.854] <GnuGo>   (out) : query_orientation
[2021-01-16 17:04:12.856] <GnuGo>   (out) : quit
[2021-01-16 17:04:12.857] <GnuGo>   (out) : reg_genmove
[2021-01-16 17:04:12.858] <GnuGo>   (out) : report_uncertainty
[2021-01-16 17:04:12.858] <GnuGo>   (out) : reset_connection_node_counter
[2021-01-16 17:04:12.859] <GnuGo>   (out) : reset_life_node_counter
[2021-01-16 17:04:12.860] <GnuGo>   (out) : reset_owl_node_counter
[2021-01-16 17:04:12.863] <GnuGo>   (out) : reset_reading_node_counter
[2021-01-16 17:04:12.864] <GnuGo>   (out) : reset_search_mask
[2021-01-16 17:04:12.872] <GnuGo>   (out) : reset_trymove_counter
[2021-01-16 17:04:12.885] <GnuGo>   (out) : restricted_genmove
[2021-01-16 17:04:12.895] <GnuGo>   (out) : same_dragon
[2021-01-16 17:04:12.896] <GnuGo>   (out) : set_free_handicap
[2021-01-16 17:04:12.898] <GnuGo>   (out) : set_random_seed
[2021-01-16 17:04:12.899] <GnuGo>   (out) : set_search_diamond
[2021-01-16 17:04:12.901] <GnuGo>   (out) : set_search_limit
[2021-01-16 17:04:12.901] <GnuGo>   (out) : showboard
[2021-01-16 17:04:12.902] <GnuGo>   (out) : start_sgftrace
[2021-01-16 17:04:12.903] <GnuGo>   (out) : surround_map
[2021-01-16 17:04:12.904] <GnuGo>   (out) : tactical_analyze_semeai
[2021-01-16 17:04:12.923] <GnuGo>   (out) : test_eyeshape
[2021-01-16 17:04:12.925] <GnuGo>   (out) : time_left
[2021-01-16 17:04:12.926] <GnuGo>   (out) : time_settings
[2021-01-16 17:04:12.930] <GnuGo>   (out) : top_moves
[2021-01-16 17:04:12.955] <GnuGo>   (out) : top_moves_black
[2021-01-16 17:04:12.967] <GnuGo>   (out) : top_moves_white
[2021-01-16 17:04:13.124] <GnuGo>   (out) : tryko
[2021-01-16 17:04:13.125] <GnuGo>   (out) : trymove
[2021-01-16 17:04:13.230] <GnuGo>   (out) : tune_move_ordering
[2021-01-16 17:04:13.230] <GnuGo>   (out) : unconditional_status
[2021-01-16 17:04:13.231] <GnuGo>   (out) : undo
[2021-01-16 17:04:13.232] <GnuGo>   (out) : version
[2021-01-16 17:04:13.233] <GnuGo>   (out) : white
[2021-01-16 17:04:13.234] <GnuGo>   (out) : worm_cutstone
[2021-01-16 17:04:13.234] <GnuGo>   (out) : worm_data
[2021-01-16 17:04:13.235] <GnuGo>   (out) : worm_stones
[2021-01-16 17:04:13.235] <GnuGo>   (out) : 
[2021-01-16 17:04:19.627] <GnuGo>    (in) : size 9x9
[2021-01-16 17:04:19.653] <GnuGo>   (out) : ? unknown command
[2021-01-16 17:04:19.658] <GnuGo>   (out) : 
[2021-01-16 17:04:25.235] <GnuGo>    (in) : boardsize 9x9
[2021-01-16 17:04:25.258] <GnuGo>   (out) : = 
[2021-01-16 17:04:25.258] <GnuGo>   (out) : 
[2021-01-16 17:05:24.527] <GnuGo>    (in) : genmove white
[2021-01-16 17:05:24.641] <GnuGo>   (out) : = E5
[2021-01-16 17:05:24.642] <GnuGo>   (out) : 
[2021-01-16 17:06:00.019] <GnuGo>    (in) : genmove
[2021-01-16 17:06:00.096] <GnuGo>   (out) : ? invalid color
[2021-01-16 17:06:00.100] <GnuGo>   (out) : 
[2021-01-16 17:06:04.105] <GnuGo>    (in) : genmove white
[2021-01-16 17:06:04.252] <GnuGo>   (out) : = G4
[2021-01-16 17:06:04.257] <GnuGo>   (out) : 
[2021-01-16 17:06:13.090] <GnuGo>    (in) : komi 6.5
[2021-01-16 17:06:13.119] <GnuGo>   (out) : = 
[2021-01-16 17:06:13.120] <GnuGo>   (out) : 
[2021-01-16 17:06:13.150] <GnuGo>    (in) : boardsize 19
[2021-01-16 17:06:13.226] <GnuGo>   (out) : = 
[2021-01-16 17:06:13.235] <GnuGo>   (out) : 
[2021-01-16 17:06:13.287] <GnuGo>    (in) : clear_board
[2021-01-16 17:06:13.292] <GnuGo>    (in) : play B E5
[2021-01-16 17:06:13.557] <GnuGo>   (out) : = 
[2021-01-16 17:06:13.558] <GnuGo>   (out) : 
[2021-01-16 17:06:13.694] <GnuGo>   (out) : = 
[2021-01-16 17:06:13.706] <GnuGo>   (out) : 
[2021-01-16 17:06:22.931] <GnuGo>    (in) : genmove W
[2021-01-16 17:06:23.124] <GnuGo>   (out) : = C4
[2021-01-16 17:06:23.134] <GnuGo>   (out) : 
[2021-01-16 17:07:08.790] <GnuGo>    (in) : play B Q4
[2021-01-16 17:07:09.083] <GnuGo>   (out) : = 
[2021-01-16 17:07:09.099] <GnuGo>   (out) : 
[2021-01-16 17:07:09.311] <GnuGo>    (in) : genmove W
[2021-01-16 17:07:12.746] <GnuGo>   (out) : = D6
[2021-01-16 17:07:12.747] <GnuGo>   (out) : 
[2021-01-16 17:07:15.002] <GnuGo>    (in) : play B Q16
[2021-01-16 17:07:15.223] <GnuGo>   (out) : = 
[2021-01-16 17:07:15.241] <GnuGo>   (out) : 
[2021-01-16 17:07:15.378] <GnuGo>    (in) : genmove W
[2021-01-16 17:07:18.789] <GnuGo>   (out) : = D16
[2021-01-16 17:07:18.790] <GnuGo>   (out) : 
[2021-01-16 17:07:32.142] <GnuGo>    (in) : stop
[2021-01-16 17:07:32.391] <GnuGo>   (out) : ? unknown command
[2021-01-16 17:07:32.392] <GnuGo>   (out) : 
[2021-01-16 17:07:34.409] <GnuGo>    (in) : clear_board
[2021-01-16 17:07:34.456] <GnuGo>   (out) : = 
[2021-01-16 17:07:34.457] <GnuGo>   (out) : 
